a,b,c,d,e,f,g,h,i,j,k
115,57.5,100,y,0,ON,0,OFF,0,signal,1
116,58,100,y,0,ON,0,OFF,0,signal,1
117,58.5,100,y,0,ON,0,OFF,0,signal,1
118,59,100,y,0,ON,0,OFF,0,signal,1
119,59.5,100,y,0,ON,0,OFF,0,signal,1
120,60,100,y,0,ON,0,OFF,0,signal,1
121,60.5,100,y,0,ON,0,OFF,0,signal,1
122,61,100,y,0,ON,0,OFF,0,signal,1
123,61.5,100,y,0,ON,0,OFF,0,signal,1
124,62,100,y,0,ON,0,OFF,0,signal,1
125,62.5,100,y,0,ON,0,OFF,0,signal,1
126,63,100,y,0,ON,0,OFF,0,signal,1
127,63.5,100,y,0,ON,0,OFF,0,signal,1
128,64,100,y,0,ON,0,OFF,0,signal,1
129,64.5,100,y,0,ON,0,OFF,0,signal,1
130,65,100,y,0,ON,0,OFF,0,signal,1
131,65.5,100,y,0,ON,0,OFF,0,signal,1
132,66,100,y,0,ON,0,OFF,0,signal,1
133,66.5,100,y,0,ON,0,OFF,0,signal,1
134,67,100,y,0,ON,0,OFF,0,signal,1
135,67.5,100,y,0,ON,0,OFF,0,signal,1
136,68,100,y,0,ON,0,OFF,0,signal,1
137,68.5,100,y,0,ON,0,OFF,0,signal,1
138,69,100,y,0,ON,0,OFF,0,signal,1
139,69.5,100,y,0,ON,0,OFF,0,signal,1
140,70,100,y,0,ON,0,OFF,0,signal,1
141,70.5,100,y,0,ON,0,OFF,0,signal,1
142,71,100,y,0,ON,0,OFF,0,signal,1
143,71.5,100,y,0,ON,0,OFF,0,signal,1
144,72,100,y,0,ON,0,OFF,0,signal,1
145,72.5,100,y,0,ON,0,OFF,0,signal,1
146,73,100,y,0,ON,0,OFF,0,signal,1
147,73.5,100,y,0,ON,0,OFF,0,signal,1
148,74,100,y,0,ON,0,OFF,0,signal,1
149,74.5,100,y,0,ON,0,OFF,0,signal,1
150,75,100,y,0,ON,0,OFF,0,signal,1
151,75.5,100,y,0,ON,0,OFF,0,signal,1
152,76,100,y,0,ON,0,OFF,0,signal,1
153,76.5,100,y,0,ON,0,OFF,0,signal,1
154,77,100,y,0,ON,0,OFF,0,signal,1
155,77.5,100,y,0,ON,0,OFF,0,signal,1
156,78,100,y,0,ON,0,OFF,0,signal,1
157,78.5,100,y,0,ON,0,OFF,0,signal,1
158,79,100,y,0,ON,0,OFF,0,signal,1
159,79.5,100,y,0,ON,0,OFF,0,signal,1
160,80,100,y,0,ON,0,OFF,0,signal,1
161,80.5,100,y,0,ON,0,OFF,0,signal,1
162,81,100,y,0,ON,0,OFF,0,signal,1
163,81.5,100,y,0,ON,0,OFF,0,signal,1
164,82,100,y,0,ON,0,OFF,0,signal,1
165,82.5,100,y,0,ON,0,OFF,0,signal,1
166,83,100,y,0,ON,0,OFF,0,signal,1
167,83.5,100,y,0,ON,0,OFF,0,signal,1
168,84,100,y,0,ON,0,OFF,0,signal,1
169,84.5,100,y,0,ON,0,OFF,0,signal,1
170,85,100,y,0,ON,0,OFF,0,signal,1
171,85.5,100,y,0,ON,0,OFF,0,signal,1
172,86,100,y,0,ON,0,OFF,0,signal,1
173,86.5,100,y,0,ON,0,OFF,0,signal,1
174,87,100,y,0,ON,0,OFF,0,signal,1
175,87.5,100,y,0,ON,0,OFF,0,signal,1
176,88,100,y,0,ON,0,OFF,0,signal,1
177,88.5,100,y,0,ON,0,OFF,0,signal,1
178,89,100,y,0,ON,0,OFF,0,signal,1
179,89.5,100,y,0,ON,0,OFF,0,signal,1
180,90,100,y,0,ON,0,OFF,0,signal,1
181,90.5,100,y,0,ON,0,OFF,0,signal,1
182,91,100,y,0,ON,0,OFF,0,signal,1
183,91.5,100,y,0,ON,0,OFF,0,signal,1
184,92,100,y,0,ON,0,OFF,0,signal,1
185,92.5,100,y,0,ON,0,OFF,0,signal,1
186,93,100,y,0,ON,0,OFF,0,signal,1
187,93.5,100,y,0,ON,0,OFF,0,signal,1
188,94,100,y,0,ON,0,OFF,0,signal,1
189,94.5,100,y,0,ON,0,OFF,0,signal,1
190,95,100,y,0,ON,0,OFF,0,signal,1
191,95.5,100,y,0,ON,0,OFF,0,signal,1
192,96,100,y,0,ON,0,OFF,0,signal,1
193,96.5,100,y,0,ON,0,OFF,0,signal,1
194,97,100,y,0,ON,0,OFF,0,signal,1
195,97.5,100,y,0,ON,0,OFF,0,signal,1
196,98,100,y,0,ON,0,OFF,0,signal,1
197,98.5,100,y,0,ON,0,OFF,0,signal,1
198,99,100,y,0,ON,0,OFF,0,signal,1
199,99.5,100,y,0,ON,0,OFF,0,signal,1
200,100,100,y,0,ON,0,OFF,0,signal,1
201,100.5,100,y,0,ON,0,OFF,0,signal,1
202,101,100,y,0,ON,0,OFF,0,signal,1
203,101.5,100,y,0,ON,0,OFF,0,signal,1
204,102,100,y,0,ON,0,OFF,0,signal,1
205,102.5,100,y,0,ON,0,OFF,0,signal,1
206,103,100,y,0,ON,0,OFF,0,signal,1
207,103.5,100,y,0,ON,0,OFF,0,signal,1
208,104,100,y,0,ON,0,OFF,0,signal,1
209,104.5,100,y,0,ON,0,OFF,0,signal,1
210,105,100,y,0,ON,0,OFF,0,signal,1
211,105.5,100,y,0,ON,0,OFF,0,signal,1
212,106,100,y,0,ON,0,OFF,0,signal,1
213,106.5,100,y,0,ON,0,OFF,0,signal,1
214,107,100,y,0,ON,0,OFF,0,signal,1
215,107.5,100,y,0,ON,0,OFF,0,signal,1
216,108,100,y,0,ON,0,OFF,0,signal,1
217,108.5,100,y,0,ON,0,OFF,0,signal,1
218,109,100,y,0,ON,0,OFF,0,signal,1
219,109.5,100,y,0,ON,0,OFF,0,signal,1
220,110,100,y,0,ON,0,OFF,0,signal,1
221,110.5,100,y,0,ON,0,OFF,0,signal,1
