a,b,c,d,e,f,g,h,i,j,k
1225,612.5,100,y,0,ON,0,OFF,0,signal,1
1226,613,100,y,0,ON,0,OFF,0,signal,1
1227,613.5,100,y,0,ON,0,OFF,0,signal,1
1228,614,100,y,0,ON,0,OFF,0,signal,1
1229,614.5,100,y,0,ON,0,OFF,0,signal,1
1230,615,100,y,0,ON,0,OFF,0,signal,1
1231,615.5,100,y,0,ON,0,OFF,0,signal,1
1232,616,100,y,0,ON,0,OFF,0,signal,1
1233,616.5,100,y,0,ON,0,OFF,0,signal,1
1234,617,100,y,0,ON,0,OFF,0,signal,1
1235,617.5,100,y,0,ON,0,OFF,0,signal,1
1236,618,100,y,0,ON,0,OFF,0,signal,1
1237,618.5,100,y,0,ON,0,OFF,0,signal,1
1238,619,100,y,0,ON,0,OFF,0,signal,1
1239,619.5,100,y,0,ON,0,OFF,0,signal,1
1240,620,100,y,0,ON,0,OFF,0,signal,1
1241,620.5,100,y,0,ON,0,OFF,0,signal,1
1242,621,100,y,0,ON,0,OFF,0,signal,1
1243,621.5,100,y,0,ON,0,OFF,0,signal,1
1244,622,100,y,0,ON,0,OFF,0,signal,1
1245,622.5,100,y,0,ON,0,OFF,0,signal,1
1246,623,100,y,0,ON,0,OFF,0,signal,1
1247,623.5,100,y,0,ON,0,OFF,0,signal,1
1248,624,100,y,0,ON,0,OFF,0,signal,1
1249,624.5,100,y,0,ON,0,OFF,0,signal,1
1250,625,100,y,0,ON,0,OFF,0,signal,1
1251,625.5,100,y,0,ON,0,OFF,0,signal,1
1252,626,100,y,0,ON,0,OFF,0,signal,1
1253,626.5,100,y,0,ON,0,OFF,0,signal,1
1254,627,100,y,0,ON,0,OFF,0,signal,1
1255,627.5,100,y,0,ON,0,OFF,0,signal,1
1256,628,100,y,0,ON,0,OFF,0,signal,1
1257,628.5,100,y,0,ON,0,OFF,0,signal,1
1258,629,100,y,0,ON,0,OFF,0,signal,1
1259,629.5,100,y,0,ON,0,OFF,0,signal,1
1260,630,100,y,0,ON,0,OFF,0,signal,1
1261,630.5,100,y,0,ON,0,OFF,0,signal,1
1262,631,100,y,0,ON,0,OFF,0,signal,1
1263,631.5,100,y,0,ON,0,OFF,0,signal,1
1264,632,100,y,0,ON,0,OFF,0,signal,1
1265,632.5,100,y,0,ON,0,OFF,0,signal,1
1266,633,100,y,0,ON,0,OFF,0,signal,1
1267,633.5,100,y,0,ON,0,OFF,0,signal,1
1268,634,100,y,0,ON,0,OFF,0,signal,1
1269,634.5,100,y,0,ON,0,OFF,0,signal,1
1270,635,100,y,0,ON,0,OFF,0,signal,1
1271,635.5,100,y,0,ON,0,OFF,0,signal,1
1272,636,100,y,0,ON,0,OFF,0,signal,1
1273,636.5,100,y,0,ON,0,OFF,0,signal,1
1274,637,100,y,0,ON,0,OFF,0,signal,1
1275,637.5,100,y,0,ON,0,OFF,0,signal,1
1276,638,100,y,0,ON,0,OFF,0,signal,1
1277,638.5,100,y,0,ON,0,OFF,0,signal,1
1278,639,100,y,0,ON,0,OFF,0,signal,1
1279,639.5,100,y,0,ON,0,OFF,0,signal,1
1280,640,100,y,0,ON,0,OFF,0,signal,1
1281,640.5,100,y,0,ON,0,OFF,0,signal,1
1282,641,100,y,0,ON,0,OFF,0,signal,1
1283,641.5,100,y,0,ON,0,OFF,0,signal,1
1284,642,100,y,0,ON,0,OFF,0,signal,1
1285,642.5,100,y,0,ON,0,OFF,0,signal,1
1286,643,100,y,0,ON,0,OFF,0,signal,1
1287,643.5,100,y,0,ON,0,OFF,0,signal,1
1288,644,100,y,0,ON,0,OFF,0,signal,1
1289,644.5,100,y,0,ON,0,OFF,0,signal,1
1290,645,100,y,0,ON,0,OFF,0,signal,1
1291,645.5,100,y,0,ON,0,OFF,0,signal,1
1292,646,100,y,0,ON,0,OFF,0,signal,1
1293,646.5,100,y,0,ON,0,OFF,0,signal,1
1294,647,100,y,0,ON,0,OFF,0,signal,1
1295,647.5,100,y,0,ON,0,OFF,0,signal,1
1296,648,100,y,0,ON,0,OFF,0,signal,1
1297,648.5,100,y,0,ON,0,OFF,0,signal,1
1298,649,100,y,0,ON,0,OFF,0,signal,1
1299,649.5,100,y,0,ON,0,OFF,0,signal,1
1300,650,100,y,0,ON,0,OFF,0,signal,1
1301,650.5,100,y,0,ON,0,OFF,0,signal,1
1302,651,100,y,0,ON,0,OFF,0,signal,1
1303,651.5,100,y,0,ON,0,OFF,0,signal,1
1304,652,100,y,0,ON,0,OFF,0,signal,1
1305,652.5,100,y,0,ON,0,OFF,0,signal,1
1306,653,100,y,0,ON,0,OFF,0,signal,1
1307,653.5,100,y,0,ON,0,OFF,0,signal,1
1308,654,100,y,0,ON,0,OFF,0,signal,1
1309,654.5,100,y,0,ON,0,OFF,0,signal,1
1310,655,100,y,0,ON,0,OFF,0,signal,1
1311,655.5,100,y,0,ON,0,OFF,0,signal,1
1312,656,100,y,0,ON,0,OFF,0,signal,1
1313,656.5,100,y,0,ON,0,OFF,0,signal,1
1314,657,100,y,0,ON,0,OFF,0,signal,1
1315,657.5,100,y,0,ON,0,OFF,0,signal,1
1316,658,100,y,0,ON,0,OFF,0,signal,1
1317,658.5,100,y,0,ON,0,OFF,0,signal,1
1318,659,100,y,0,ON,0,OFF,0,signal,1
1319,659.5,100,y,0,ON,0,OFF,0,signal,1
1320,660,100,y,0,ON,0,OFF,0,signal,1
1321,660.5,100,y,0,ON,0,OFF,0,signal,1
1322,661,100,y,0,ON,0,OFF,0,signal,1
1323,661.5,100,y,0,ON,0,OFF,0,signal,1
1324,662,100,y,0,ON,0,OFF,0,signal,1
1325,662.5,100,y,0,ON,0,OFF,0,signal,1
1326,663,100,y,0,ON,0,OFF,0,signal,1
1327,663.5,100,y,0,ON,0,OFF,0,signal,1
1328,664,100,y,0,ON,0,OFF,0,signal,1
1329,664.5,100,y,0,ON,0,OFF,0,signal,1
1330,665,100,y,0,ON,0,OFF,0,signal,1
1331,665.5,100,y,0,ON,0,OFF,0,signal,1
1332,666,100,y,0,ON,0,OFF,0,signal,1
1333,666.5,100,y,0,ON,0,OFF,0,signal,1
1334,667,100,y,0,ON,0,OFF,0,signal,1
1335,667.5,100,y,0,ON,0,OFF,0,signal,1
1336,668,100,y,0,ON,0,OFF,0,signal,1
1337,668.5,100,y,0,ON,0,OFF,0,signal,1
1338,669,100,y,0,ON,0,OFF,0,signal,1
1339,669.5,100,y,0,ON,0,OFF,0,signal,1
1340,670,100,y,0,ON,0,OFF,0,signal,1
1341,670.5,100,y,0,ON,0,OFF,0,signal,1
1342,671,100,y,0,ON,0,OFF,0,signal,1
1343,671.5,100,y,0,ON,0,OFF,0,signal,1
1344,672,100,y,0,ON,0,OFF,0,signal,1
1345,672.5,100,y,0,ON,0,OFF,0,signal,1
1346,673,100,y,0,ON,0,OFF,0,signal,1
1347,673.5,100,y,0,ON,0,OFF,0,signal,1
1348,674,100,y,0,ON,0,OFF,0,signal,1
1349,674.5,100,y,0,ON,0,OFF,0,signal,1
1350,675,100,y,0,ON,0,OFF,0,signal,1
1351,675.5,100,y,0,ON,0,OFF,0,signal,1
1352,676,100,y,0,ON,0,OFF,0,signal,1
1353,676.5,100,y,0,ON,0,OFF,0,signal,1
1354,677,100,y,0,ON,0,OFF,0,signal,1
1355,677.5,100,y,0,ON,0,OFF,0,signal,1
1356,678,100,y,0,ON,0,OFF,0,signal,1
1357,678.5,100,y,0,ON,0,OFF,0,signal,1
1358,679,100,y,0,ON,0,OFF,0,signal,1
1359,679.5,100,y,0,ON,0,OFF,0,signal,1
1360,680,100,y,0,ON,0,OFF,0,signal,1
1361,680.5,100,y,0,ON,0,OFF,0,signal,1
1362,681,100,y,0,ON,0,OFF,0,signal,1
1363,681.5,100,y,0,ON,0,OFF,0,signal,1
1364,682,100,y,0,ON,0,OFF,0,signal,1
1365,682.5,100,y,0,ON,0,OFF,0,signal,1
1366,683,100,y,0,ON,0,OFF,0,signal,1
1367,683.5,100,y,0,ON,0,OFF,0,signal,1
1368,684,100,y,0,ON,0,OFF,0,signal,1
1369,684.5,100,y,0,ON,0,OFF,0,signal,1
1370,685,100,y,0,ON,0,OFF,0,signal,1
1371,685.5,100,y,0,ON,0,OFF,0,signal,1
1372,686,100,y,0,ON,0,OFF,0,signal,1
1373,686.5,100,y,0,ON,0,OFF,0,signal,1
1374,687,100,y,0,ON,0,OFF,0,signal,1
1375,687.5,100,y,0,ON,0,OFF,0,signal,1
1376,688,100,y,0,ON,0,OFF,0,signal,1
1377,688.5,100,y,0,ON,0,OFF,0,signal,1
1378,689,100,y,0,ON,0,OFF,0,signal,1
1379,689.5,100,y,0,ON,0,OFF,0,signal,1
1380,690,100,y,0,ON,0,OFF,0,signal,1
1381,690.5,100,y,0,ON,0,OFF,0,signal,1
1382,691,100,y,0,ON,0,OFF,0,signal,1
1383,691.5,100,y,0,ON,0,OFF,0,signal,1
1384,692,100,y,0,ON,0,OFF,0,signal,1
1385,692.5,100,y,0,ON,0,OFF,0,signal,1
1386,693,100,y,0,ON,0,OFF,0,signal,1
1387,693.5,100,y,0,ON,0,OFF,0,signal,1
1388,694,100,y,0,ON,0,OFF,0,signal,1
1389,694.5,100,y,0,ON,0,OFF,0,signal,1
1390,695,100,y,0,ON,0,OFF,0,signal,1
1391,695.5,100,y,0,ON,0,OFF,0,signal,1
1392,696,100,y,0,ON,0,OFF,0,signal,1
1393,696.5,100,y,0,ON,0,OFF,0,signal,1
1394,697,100,y,0,ON,0,OFF,0,signal,1
1395,697.5,100,y,0,ON,0,OFF,0,signal,1
1396,698,100,y,0,ON,0,OFF,0,signal,1
1397,698.5,100,y,0,ON,0,OFF,0,signal,1
1398,699,100,y,0,ON,0,OFF,0,signal,1
1399,699.5,100,y,0,ON,0,OFF,0,signal,1
1400,700,100,y,0,ON,0,OFF,0,signal,1
1401,700.5,100,y,0,ON,0,OFF,0,signal,1
1402,701,100,y,0,ON,0,OFF,0,signal,1
1403,701.5,100,y,0,ON,0,OFF,0,signal,1
1404,702,100,y,0,ON,0,OFF,0,signal,1
1405,702.5,100,y,0,ON,0,OFF,0,signal,1
1406,703,100,y,0,ON,0,OFF,0,signal,1
1407,703.5,100,y,0,ON,0,OFF,0,signal,1
1408,704,100,y,0,ON,0,OFF,0,signal,1
1409,704.5,100,y,0,ON,0,OFF,0,signal,1
1410,705,100,y,0,ON,0,OFF,0,signal,1
1411,705.5,100,y,0,ON,0,OFF,0,signal,1
1412,706,100,y,0,ON,0,OFF,0,signal,1
1413,706.5,100,y,0,ON,0,OFF,0,signal,1
1414,707,100,y,0,ON,0,OFF,0,signal,1
1415,707.5,100,y,0,ON,0,OFF,0,signal,1
1416,708,100,y,0,ON,0,OFF,0,signal,1
1417,708.5,100,y,0,ON,0,OFF,0,signal,1
1418,709,100,y,0,ON,0,OFF,0,signal,1
1419,709.5,100,y,0,ON,0,OFF,0,signal,1
1420,710,100,y,0,ON,0,OFF,0,signal,1
1421,710.5,100,y,0,ON,0,OFF,0,signal,1
1422,711,100,y,0,ON,0,OFF,0,signal,1
1423,711.5,100,y,0,ON,0,OFF,0,signal,1
1424,712,100,y,0,ON,0,OFF,0,signal,1
1425,712.5,100,y,0,ON,0,OFF,0,signal,1
1426,713,100,y,0,ON,0,OFF,0,signal,1
1427,713.5,100,y,0,ON,0,OFF,0,signal,1
1428,714,100,y,0,ON,0,OFF,0,signal,1
1429,714.5,100,y,0,ON,0,OFF,0,signal,1
1430,715,100,y,0,ON,0,OFF,0,signal,1
1431,715.5,100,y,0,ON,0,OFF,0,signal,1
1432,716,100,y,0,ON,0,OFF,0,signal,1
1433,716.5,100,y,0,ON,0,OFF,0,signal,1
1434,717,100,y,0,ON,0,OFF,0,signal,1
1435,717.5,100,y,0,ON,0,OFF,0,signal,1
1436,718,100,y,0,ON,0,OFF,0,signal,1
1437,718.5,100,y,0,ON,0,OFF,0,signal,1
1438,719,100,y,0,ON,0,OFF,0,signal,1
1439,719.5,100,y,0,ON,0,OFF,0,signal,1
1440,720,100,y,0,ON,0,OFF,0,signal,1
1441,720.5,100,y,0,ON,0,OFF,0,signal,1
1442,721,100,y,0,ON,0,OFF,0,signal,1
1443,721.5,100,y,0,ON,0,OFF,0,signal,1
1444,722,100,y,0,ON,0,OFF,0,signal,1
1445,722.5,100,y,0,ON,0,OFF,0,signal,1
1446,723,100,y,0,ON,0,OFF,0,signal,1
1447,723.5,100,y,0,ON,0,OFF,0,signal,1
1448,724,100,y,0,ON,0,OFF,0,signal,1
1449,724.5,100,y,0,ON,0,OFF,0,signal,1
1450,725,100,y,0,ON,0,OFF,0,signal,1
1451,725.5,100,y,0,ON,0,OFF,0,signal,1
1452,726,100,y,0,ON,0,OFF,0,signal,1
1453,726.5,100,y,0,ON,0,OFF,0,signal,1
1454,727,100,y,0,ON,0,OFF,0,signal,1
1455,727.5,100,y,0,ON,0,OFF,0,signal,1
1456,728,100,y,0,ON,0,OFF,0,signal,1
1457,728.5,100,y,0,ON,0,OFF,0,signal,1
1458,729,100,y,0,ON,0,OFF,0,signal,1
1459,729.5,100,y,0,ON,0,OFF,0,signal,1
1460,730,100,y,0,ON,0,OFF,0,signal,1
1461,730.5,100,y,0,ON,0,OFF,0,signal,1
1462,731,100,y,0,ON,0,OFF,0,signal,1
1463,731.5,100,y,0,ON,0,OFF,0,signal,1
1464,732,100,y,0,ON,0,OFF,0,signal,1
1465,732.5,100,y,0,ON,0,OFF,0,signal,1
1466,733,100,y,0,ON,0,OFF,0,signal,1
1467,733.5,100,y,0,ON,0,OFF,0,signal,1
1468,734,100,y,0,ON,0,OFF,0,signal,1
1469,734.5,100,y,0,ON,0,OFF,0,signal,1
1470,735,100,y,0,ON,0,OFF,0,signal,1
1471,735.5,100,y,0,ON,0,OFF,0,signal,1
1472,736,100,y,0,ON,0,OFF,0,signal,1
1473,736.5,100,y,0,ON,0,OFF,0,signal,1
1474,737,100,y,0,ON,0,OFF,0,signal,1
1475,737.5,100,y,0,ON,0,OFF,0,signal,1
1476,738,100,y,0,ON,0,OFF,0,signal,1
1477,738.5,100,y,0,ON,0,OFF,0,signal,1
1478,739,100,y,0,ON,0,OFF,0,signal,1
1479,739.5,100,y,0,ON,0,OFF,0,signal,1
1480,740,100,y,0,ON,0,OFF,0,signal,1
1481,740.5,100,y,0,ON,0,OFF,0,signal,1
1482,741,100,y,0,ON,0,OFF,0,signal,1
1483,741.5,100,y,0,ON,0,OFF,0,signal,1
1484,742,100,y,0,ON,0,OFF,0,signal,1
1485,742.5,100,y,0,ON,0,OFF,0,signal,1
1486,743,100,y,0,ON,0,OFF,0,signal,1
1487,743.5,100,y,0,ON,0,OFF,0,signal,1
1488,744,100,y,0,ON,0,OFF,0,signal,1
1489,744.5,100,y,0,ON,0,OFF,0,signal,1
1490,745,100,y,0,ON,0,OFF,0,signal,1
1491,745.5,100,y,0,ON,0,OFF,0,signal,1
1492,746,100,y,0,ON,0,OFF,0,signal,1
1493,746.5,100,y,0,ON,0,OFF,0,signal,1
1494,747,100,y,0,ON,0,OFF,0,signal,1
1495,747.5,100,y,0,ON,0,OFF,0,signal,1
1496,748,100,y,0,ON,0,OFF,0,signal,1
1497,748.5,100,y,0,ON,0,OFF,0,signal,1
1498,749,100,y,0,ON,0,OFF,0,signal,1
1499,749.5,100,y,0,ON,0,OFF,0,signal,1
1500,750,100,y,0,ON,0,OFF,0,signal,1
1501,750.5,100,y,0,ON,0,OFF,0,signal,1
1502,751,100,y,0,ON,0,OFF,0,signal,1
1503,751.5,100,y,0,ON,0,OFF,0,signal,1
1504,752,100,y,0,ON,0,OFF,0,signal,1
1505,752.5,100,y,0,ON,0,OFF,0,signal,1
1506,753,100,y,0,ON,0,OFF,0,signal,1
1507,753.5,100,y,0,ON,0,OFF,0,signal,1
1508,754,100,y,0,ON,0,OFF,0,signal,1
1509,754.5,100,y,0,ON,0,OFF,0,signal,1
1510,755,100,y,0,ON,0,OFF,0,signal,1
1511,755.5,100,y,0,ON,0,OFF,0,signal,1
1512,756,100,y,0,ON,0,OFF,0,signal,1
1513,756.5,100,y,0,ON,0,OFF,0,signal,1
1514,757,100,y,0,ON,0,OFF,0,signal,1
1515,757.5,100,y,0,ON,0,OFF,0,signal,1
1516,758,100,y,0,ON,0,OFF,0,signal,1
1517,758.5,100,y,0,ON,0,OFF,0,signal,1
1518,759,100,y,0,ON,0,OFF,0,signal,1
1519,759.5,100,y,0,ON,0,OFF,0,signal,1
1520,760,100,y,0,ON,0,OFF,0,signal,1
1521,760.5,100,y,0,ON,0,OFF,0,signal,1
1522,761,100,y,0,ON,0,OFF,0,signal,1
1523,761.5,100,y,0,ON,0,OFF,0,signal,1
1524,762,100,y,0,ON,0,OFF,0,signal,1
1525,762.5,100,y,0,ON,0,OFF,0,signal,1
1526,763,100,y,0,ON,0,OFF,0,signal,1
1527,763.5,100,y,0,ON,0,OFF,0,signal,1
1528,764,100,y,0,ON,0,OFF,0,signal,1
1529,764.5,100,y,0,ON,0,OFF,0,signal,1
1530,765,100,y,0,ON,0,OFF,0,signal,1
1531,765.5,100,y,0,ON,0,OFF,0,signal,1
1532,766,100,y,0,ON,0,OFF,0,signal,1
1533,766.5,100,y,0,ON,0,OFF,0,signal,1
1534,767,100,y,0,ON,0,OFF,0,signal,1
1535,767.5,100,y,0,ON,0,OFF,0,signal,1
1536,768,100,y,0,ON,0,OFF,0,signal,1
1537,768.5,100,y,0,ON,0,OFF,0,signal,1
1538,769,100,y,0,ON,0,OFF,0,signal,1
1539,769.5,100,y,0,ON,0,OFF,0,signal,1
1540,770,100,y,0,ON,0,OFF,0,signal,1
1541,770.5,100,y,0,ON,0,OFF,0,signal,1
1542,771,100,y,0,ON,0,OFF,0,signal,1
1543,771.5,100,y,0,ON,0,OFF,0,signal,1
1544,772,100,y,0,ON,0,OFF,0,signal,1
1545,772.5,100,y,0,ON,0,OFF,0,signal,1
1546,773,100,y,0,ON,0,OFF,0,signal,1
1547,773.5,100,y,0,ON,0,OFF,0,signal,1
1548,774,100,y,0,ON,0,OFF,0,signal,1
1549,774.5,100,y,0,ON,0,OFF,0,signal,1
1550,775,100,y,0,ON,0,OFF,0,signal,1
1551,775.5,100,y,0,ON,0,OFF,0,signal,1
1552,776,100,y,0,ON,0,OFF,0,signal,1
1553,776.5,100,y,0,ON,0,OFF,0,signal,1
1554,777,100,y,0,ON,0,OFF,0,signal,1
1555,777.5,100,y,0,ON,0,OFF,0,signal,1
1556,778,100,y,0,ON,0,OFF,0,signal,1
1557,778.5,100,y,0,ON,0,OFF,0,signal,1
1558,779,100,y,0,ON,0,OFF,0,signal,1
1559,779.5,100,y,0,ON,0,OFF,0,signal,1
1560,780,100,y,0,ON,0,OFF,0,signal,1
1561,780.5,100,y,0,ON,0,OFF,0,signal,1
1562,781,100,y,0,ON,0,OFF,0,signal,1
1563,781.5,100,y,0,ON,0,OFF,0,signal,1
1564,782,100,y,0,ON,0,OFF,0,signal,1
1565,782.5,100,y,0,ON,0,OFF,0,signal,1
1566,783,100,y,0,ON,0,OFF,0,signal,1
1567,783.5,100,y,0,ON,0,OFF,0,signal,1
1568,784,100,y,0,ON,0,OFF,0,signal,1
1569,784.5,100,y,0,ON,0,OFF,0,signal,1
1570,785,100,y,0,ON,0,OFF,0,signal,1
1571,785.5,100,y,0,ON,0,OFF,0,signal,1
1572,786,100,y,0,ON,0,OFF,0,signal,1
1573,786.5,100,y,0,ON,0,OFF,0,signal,1
1574,787,100,y,0,ON,0,OFF,0,signal,1
1575,787.5,100,y,0,ON,0,OFF,0,signal,1
1576,788,100,y,0,ON,0,OFF,0,signal,1
1577,788.5,100,y,0,ON,0,OFF,0,signal,1
1578,789,100,y,0,ON,0,OFF,0,signal,1
1579,789.5,100,y,0,ON,0,OFF,0,signal,1
1580,790,100,y,0,ON,0,OFF,0,signal,1
1581,790.5,100,y,0,ON,0,OFF,0,signal,1
1582,791,100,y,0,ON,0,OFF,0,signal,1
1583,791.5,100,y,0,ON,0,OFF,0,signal,1
1584,792,100,y,0,ON,0,OFF,0,signal,1
1585,792.5,100,y,0,ON,0,OFF,0,signal,1
1586,793,100,y,0,ON,0,OFF,0,signal,1
1587,793.5,100,y,0,ON,0,OFF,0,signal,1
1588,794,100,y,0,ON,0,OFF,0,signal,1
1589,794.5,100,y,0,ON,0,OFF,0,signal,1
1590,795,100,y,0,ON,0,OFF,0,signal,1
1591,795.5,100,y,0,ON,0,OFF,0,signal,1
1592,796,100,y,0,ON,0,OFF,0,signal,1
1593,796.5,100,y,0,ON,0,OFF,0,signal,1
1594,797,100,y,0,ON,0,OFF,0,signal,1
1595,797.5,100,y,0,ON,0,OFF,0,signal,1
1596,798,100,y,0,ON,0,OFF,0,signal,1
1597,798.5,100,y,0,ON,0,OFF,0,signal,1
1598,799,100,y,0,ON,0,OFF,0,signal,1
1599,799.5,100,y,0,ON,0,OFF,0,signal,1
1600,800,100,y,0,ON,0,OFF,0,signal,1
1601,800.5,100,y,0,ON,0,OFF,0,signal,1
1602,801,100,y,0,ON,0,OFF,0,signal,1
1603,801.5,100,y,0,ON,0,OFF,0,signal,1
1604,802,100,y,0,ON,0,OFF,0,signal,1
1605,802.5,100,y,0,ON,0,OFF,0,signal,1
1606,803,100,y,0,ON,0,OFF,0,signal,1
1607,803.5,100,y,0,ON,0,OFF,0,signal,1
1608,804,100,y,0,ON,0,OFF,0,signal,1
1609,804.5,100,y,0,ON,0,OFF,0,signal,1
1610,805,100,y,0,ON,0,OFF,0,signal,1
1611,805.5,100,y,0,ON,0,OFF,0,signal,1
1612,806,100,y,0,ON,0,OFF,0,signal,1
1613,806.5,100,y,0,ON,0,OFF,0,signal,1
1614,807,100,y,0,ON,0,OFF,0,signal,1
1615,807.5,100,y,0,ON,0,OFF,0,signal,1
1616,808,100,y,0,ON,0,OFF,0,signal,1
1617,808.5,100,y,0,ON,0,OFF,0,signal,1
1618,809,100,y,0,ON,0,OFF,0,signal,1
1619,809.5,100,y,0,ON,0,OFF,0,signal,1
1620,810,100,y,0,ON,0,OFF,0,signal,1
1621,810.5,100,y,0,ON,0,OFF,0,signal,1
1622,811,100,y,0,ON,0,OFF,0,signal,1
1623,811.5,100,y,0,ON,0,OFF,0,signal,1
1624,812,100,y,0,ON,0,OFF,0,signal,1
1625,812.5,100,y,0,ON,0,OFF,0,signal,1
1626,813,100,y,0,ON,0,OFF,0,signal,1
1627,813.5,100,y,0,ON,0,OFF,0,signal,1
1628,814,100,y,0,ON,0,OFF,0,signal,1
1629,814.5,100,y,0,ON,0,OFF,0,signal,1
1630,815,100,y,0,ON,0,OFF,0,signal,1
1631,815.5,100,y,0,ON,0,OFF,0,signal,1
1632,816,100,y,0,ON,0,OFF,0,signal,1
1633,816.5,100,y,0,ON,0,OFF,0,signal,1
1634,817,100,y,0,ON,0,OFF,0,signal,1
1635,817.5,100,y,0,ON,0,OFF,0,signal,1
1636,818,100,y,0,ON,0,OFF,0,signal,1
1637,818.5,100,y,0,ON,0,OFF,0,signal,1
1638,819,100,y,0,ON,0,OFF,0,signal,1
1639,819.5,100,y,0,ON,0,OFF,0,signal,1
1640,820,100,y,0,ON,0,OFF,0,signal,1
1641,820.5,100,y,0,ON,0,OFF,0,signal,1
1642,821,100,y,0,ON,0,OFF,0,signal,1
1643,821.5,100,y,0,ON,0,OFF,0,signal,1
1644,822,100,y,0,ON,0,OFF,0,signal,1
1645,822.5,100,y,0,ON,0,OFF,0,signal,1
1646,823,100,y,0,ON,0,OFF,0,signal,1
1647,823.5,100,y,0,ON,0,OFF,0,signal,1
1648,824,100,y,0,ON,0,OFF,0,signal,1
1649,824.5,100,y,0,ON,0,OFF,0,signal,1
1650,825,100,y,0,ON,0,OFF,0,signal,1
1651,825.5,100,y,0,ON,0,OFF,0,signal,1
1652,826,100,y,0,ON,0,OFF,0,signal,1
1653,826.5,100,y,0,ON,0,OFF,0,signal,1
1654,827,100,y,0,ON,0,OFF,0,signal,1
1655,827.5,100,y,0,ON,0,OFF,0,signal,1
1656,828,100,y,0,ON,0,OFF,0,signal,1
1657,828.5,100,y,0,ON,0,OFF,0,signal,1
1658,829,100,y,0,ON,0,OFF,0,signal,1
1659,829.5,100,y,0,ON,0,OFF,0,signal,1
1660,830,100,y,0,ON,0,OFF,0,signal,1
1661,830.5,100,y,0,ON,0,OFF,0,signal,1
1662,831,100,y,0,ON,0,OFF,0,signal,1
1663,831.5,100,y,0,ON,0,OFF,0,signal,1
1664,832,100,y,0,ON,0,OFF,0,signal,1
1665,832.5,100,y,0,ON,0,OFF,0,signal,1
1666,833,100,y,0,ON,0,OFF,0,signal,1
1667,833.5,100,y,0,ON,0,OFF,0,signal,1
1668,834,100,y,0,ON,0,OFF,0,signal,1
1669,834.5,100,y,0,ON,0,OFF,0,signal,1
1670,835,100,y,0,ON,0,OFF,0,signal,1
1671,835.5,100,y,0,ON,0,OFF,0,signal,1
1672,836,100,y,0,ON,0,OFF,0,signal,1
1673,836.5,100,y,0,ON,0,OFF,0,signal,1
1674,837,100,y,0,ON,0,OFF,0,signal,1
1675,837.5,100,y,0,ON,0,OFF,0,signal,1
1676,838,100,y,0,ON,0,OFF,0,signal,1
1677,838.5,100,y,0,ON,0,OFF,0,signal,1
1678,839,100,y,0,ON,0,OFF,0,signal,1
1679,839.5,100,y,0,ON,0,OFF,0,signal,1
1680,840,100,y,0,ON,0,OFF,0,signal,1
1681,840.5,100,y,0,ON,0,OFF,0,signal,1
1682,841,100,y,0,ON,0,OFF,0,signal,1
1683,841.5,100,y,0,ON,0,OFF,0,signal,1
1684,842,100,y,0,ON,0,OFF,0,signal,1
1685,842.5,100,y,0,ON,0,OFF,0,signal,1
1686,843,100,y,0,ON,0,OFF,0,signal,1
1687,843.5,100,y,0,ON,0,OFF,0,signal,1
1688,844,100,y,0,ON,0,OFF,0,signal,1
1689,844.5,100,y,0,ON,0,OFF,0,signal,1
1690,845,100,y,0,ON,0,OFF,0,signal,1
1691,845.5,100,y,0,ON,0,OFF,0,signal,1
1692,846,100,y,0,ON,0,OFF,0,signal,1
1693,846.5,100,y,0,ON,0,OFF,0,signal,1
1694,847,100,y,0,ON,0,OFF,0,signal,1
1695,847.5,100,y,0,ON,0,OFF,0,signal,1
1696,848,100,y,0,ON,0,OFF,0,signal,1
1697,848.5,100,y,0,ON,0,OFF,0,signal,1
1698,849,100,y,0,ON,0,OFF,0,signal,1
1699,849.5,100,y,0,ON,0,OFF,0,signal,1
1700,850,100,y,0,ON,0,OFF,0,signal,1
1701,850.5,100,y,0,ON,0,OFF,0,signal,1
1702,851,100,y,0,ON,0,OFF,0,signal,1
1703,851.5,100,y,0,ON,0,OFF,0,signal,1
1704,852,100,y,0,ON,0,OFF,0,signal,1
1705,852.5,100,y,0,ON,0,OFF,0,signal,1
1706,853,100,y,0,ON,0,OFF,0,signal,1
1707,853.5,100,y,0,ON,0,OFF,0,signal,1
1708,854,100,y,0,ON,0,OFF,0,signal,1
1709,854.5,100,y,0,ON,0,OFF,0,signal,1
1710,855,100,y,0,ON,0,OFF,0,signal,1
1711,855.5,100,y,0,ON,0,OFF,0,signal,1
1712,856,100,y,0,ON,0,OFF,0,signal,1
1713,856.5,100,y,0,ON,0,OFF,0,signal,1
1714,857,100,y,0,ON,0,OFF,0,signal,1
1715,857.5,100,y,0,ON,0,OFF,0,signal,1
1716,858,100,y,0,ON,0,OFF,0,signal,1
1717,858.5,100,y,0,ON,0,OFF,0,signal,1
1718,859,100,y,0,ON,0,OFF,0,signal,1
1719,859.5,100,y,0,ON,0,OFF,0,signal,1
1720,860,100,y,0,ON,0,OFF,0,signal,1
1721,860.5,100,y,0,ON,0,OFF,0,signal,1
1722,861,100,y,0,ON,0,OFF,0,signal,1
1723,861.5,100,y,0,ON,0,OFF,0,signal,1
